THE    DH_IY
MALLEABLE    M_AE AE_L L_IY IY_AH AH_B B_AH AH_L
MALIGNED    M_AH AH_L L_AA AA_IY IY_N N_D
MALIGNANCY    M_AH AH_L L_IH IH_G G_N N_AH AH_N N_S S_IY
MALEFACTORS    M_AE AE_L L_F F_AE AE_K K_T T_UH UH_R R_Z
MALCONTENTS    M_AE AE_L L_K K_AH AH_N N_T T_EH EH_N N_T T_S
MALARIA    M_AH AH_L L_EH EH_R R_IY IY_AH
MALAMUTE    M_AE AE_L L_AH AH_M M_Y Y_UW UW_T
MALADMINISTRATION    M_AE AE_L L_AH AH_D D_M M_IH IH_N N_AH AH_S S_T T_R R_EH EH_IY IY_SH SH_AH AH_N
MALADJUSTMENT    M_AE AE_L L_AH AH_JH JH_AH AH_S S_T T_M M_AH AH_N N_T
MAKEUP    M_EH EH_IY IY_K K_AH AH_P
MAKAN    M_EH EH_IY IY_K K_AH AH_N
MAJUBA    M_AE AE_JH JH_UW UW_B B_AH
MAJESTIE    M_AE AE_JH JH_AH AH_S S_T T_IY
MAITREYA    M_EH EH_IY IY_T T_R R_EH EH_IY IY_AH
MAILLARD    M_EH EH_L L_AA AA_R R_D
MAIDSTONE    M_EH EH_IY IY_D D_S S_T T_AO AO_UH UH_N
MAIDENHOOD    M_EH EH_IY IY_D D_AH AH_N N_HH HH_UH UH_D
MAIDENHEAD    M_EH EH_IY IY_D D_AH AH_N N_HH HH_EH EH_D
MAGNOLIAS    M_AE AE_G G_N N_AO AO_UH UH_L L_Y Y_AH AH_Z
MAGNOLIA    M_AE AE_G G_N N_AO AO_UH UH_L L_Y Y_AH
MAGNITUDES    M_AE AE_G G_N N_AH AH_T T_UW UW_D D_Z
MAGNIFICATION    M_AE AE_G G_N N_AH AH_F F_AH AH_K K_EH EH_IY IY_SH SH_AH AH_N
MAGNETIZER    M_AE AE_G G_N N_IH IH_T T_AA AA_IY IY_Z Z_UH UH_R
MAGNESIA    M_AE AE_G G_N N_IY IY_ZH ZH_AH
MAGISTRATE'S    M_AE AE_JH JH_IH IH_S S_T T_R R_EH EH_IY IY_T T_S
MAGGIE'S    M_AE AE_G G_IY IY_Z
MAETERLINCK    M_AA AA_EH EH_T T_UH UH_R R_L L_IH IH_NG NG_K
MADEST    M_AE AE_D D_AH AH_S S_T
MADELINE'S    M_AE AE_D D_AH AH_L L_AA AA_IY IY_N N_Z
MADCAP    M_AE AE_D D_K K_AE AE_P
MACNULTY    M_AH AH_K K_N N_AH AH_L L_T T_IY
MACKINAC    M_AE AE_K K_AH AH_N N_AE AE_K
MACEDONIA    M_AE AE_S S_AH AH_D D_AO AO_UH UH_N N_IY IY_AH
MACDONALDS    M_AH AH_K K_D D_AA AA_N N_AH AH_L L_D D_Z
MACCHIAVELLI    M_AE AE_K K_IY IY_AH AH_V V_EH EH_L L_IY
MACCABEES    M_AE AE_K K_AH AH_B B_IY IY_Z
MACAWS    M_AH AH_K K_AO AO_Z
MACARIUS    M_AH AH_K K_UH UH_R R_AA AA_IY IY_AH AH_S
MAAR    M_AA AA_R
LYRISM    L_IH IH_R R_IH IH_Z Z_AH AH_M
LYRICS    L_IH IH_R R_IH IH_K K_S
LYONS    L_AA AA_IY IY_AH AH_N N_Z
LYNE'S    L_AA AA_IY IY_N N_Z
LYNDON    L_IH IH_N N_D D_AH AH_N
LYNCHINGS    L_IH IH_N N_CH CH_IH IH_NG NG_Z
LYME    L_AA AA_IY IY_M
LYDDITE    L_IH IH_D D_D D_AA AA_IY IY_T
LYCURGUS    L_AA AA_IY IY_K K_UH UH_R R_G G_AH AH_S
LUYDENS    L_AA AA_IY IY_D D_AH AH_N N_Z
LUSTRELESS    L_AH AH_S S_T T_UH UH_R R_L L_AH AH_S
LUSTIEST    L_AH AH_S S_T T_IY IY_AH AH_S S_T
LUSH'S    L_AH AH_SH SH_IH IH_Z
LUSATIA    L_UW UW_S S_AA AA_SH SH_AH
LURING    L_UH UH_R R_IH IH_NG
LURIDLY    L_UH UH_R R_AH AH_D D_L L_IY
LURES    L_UH UH_R R_Z
LUNI    L_UW UW_N N_IY
LUNCHING    L_AH AH_N N_CH CH_IH IH_NG
LUNACY    L_UW UW_N N_AH AH_S S_IY
LUN    L_AH AH_N
LUMINOSITY    L_UW UW_M M_IH IH_N N_AO AO_UH UH_S S_IH IH_T T_IY
LUMINIFEROUS    L_UW UW_M M_AH AH_N N_IH IH_F F_UH UH_R R_AH AH_S
LULLABY    L_AH AH_L L_AH AH_B B_AA AA_IY
LUISA    L_UW UW_IY IY_Z Z_AH
LUDLOW'S    L_AH AH_D D_L L_AO AO_UH UH_Z
LUDICROUSLY    L_UW UW_D D_AH AH_K K_R R_AH AH_S S_L L_IY
LUCRINE    L_UW UW_K K_R R_AA AA_IY IY_N
LUCRETIUS    L_UW UW_K K_R R_IY IY_SH SH_Y Y_IH IH_S
LUCKNOW    L_AH AH_K K_N N_AO AO_UH
LUCKIER    L_AH AH_K K_IY IY_UH UH_R
LUCIEN    L_UW UW_S S_IY IY_AH AH_N
LUCIDLY    L_UW UW_S S_AH AH_D D_L L_IY
LUCERNE    L_UW UW_S S_UH UH_R R_N
LUCASES    L_UW UW_K K_AH AH_S S_IH IH_Z
LUC    L_UW UW_K
LOYOLA    L_AO AO_IY IY_AO AO_UH UH_L L_AH
LOYALIST    L_AO AO_IY IY_AH AH_L L_IH IH_S S_T
LOWLIEST    L_AO AO_UH UH_L L_IY IY_AH AH_S S_T
LOWLAND    L_AO AO_UH UH_L L_AE AE_N N_D
LOWDER'S    L_AO AO_UH UH_D D_UH UH_R R_Z
LOVELESS    L_AH AH_V V_L L_AH AH_S
LOV'D    L_AA AA_D
LOUVRES    L_UW UW_V V_R R_AH AH_S
L'OUVERTURE    L_AO AO_V V_UH UH_R R_CH CH_UH UH_R
LOUSY    L_AA AA_UH UH_Z Z_IY
LOURDES    L_AO AO_R R_D D_Z
LOUGHLINTER    L_AA AA_UH UH_K K_L L_IH IH_N N_T T_UH UH_R
LOTTY    L_AA AA_T T_IY
LOTHE    L_AO AO_UH UH_DH
LORETTE    L_AO AO_R R_EH EH_T
LOREDANO    L_AO AO_R R_EH EH_IY IY_D D_AA AA_N N_AO AO_UH
LOQUACITY    L_AO AO_UH UH_K K_W W_EH EH_IY IY_S S_IH IH_T T_IY
LOPSIDED    L_AA AA_P P_S S_AA AA_IY IY_D D_IH IH_D
LOPED    L_AO AO_UH UH_P P_T
LOPE    L_AO AO_UH UH_P
LOP    L_AA AA_P
LOON'S    L_UW UW_N N_Z
LOOKYE    L_UH UH_K K_IY
LOOKER    L_UH UH_K K_UH UH_R
LONGWOOD    L_AO AO_NG NG_W W_UH UH_D
LONG'S    L_AO AO_NG NG_Z
LONGFELLOW'S    L_AO AO_NG NG_F F_EH EH_L L_AO AO_UH UH_Z
LONGETH    L_AO AO_NG NG_G G_IH IH_TH
LONDONER    L_AH AH_N N_D D_AH AH_N N_UH UH_R
LOLLO    L_AA AA_L L_AO AO_UH
LOLLED    L_AA AA_L L_D
LOKI'S    L_AO AO_UH UH_K K_IY IY_Z
LOINCLOTH    L_AO AO_IY IY_N N_K K_L L_AO AO_TH
LOI    L_AO AO_IY
LOGRIS    L_AO AO_UH UH_G G_R R_IH IH_S
LOGOS    L_AO AO_UH UH_G G_AO AO_UH UH_Z
LOGICIAN    L_AO AO_UH UH_JH JH_IH IH_SH SH_AH AH_N
LOGGING    L_AO AO_G G_IH IH_NG
LOGGERS    L_AA AA_G G_UH UH_R R_Z
LOGGER    L_AA AA_G G_UH UH_R
LOGARITHMS    L_AA AA_G G_UH UH_R R_IH IH_DH DH_AH AH_M M_Z
LOCO    L_AO AO_UH UH_K K_AO AO_UH
LOCI    L_AO AO_UH UH_K K_IY
LOCATING    L_AO AO_UH UH_K K_EH EH_IY IY_T T_IH IH_NG
LOCALIZE    L_AO AO_UH UH_K K_AH AH_L L_AA AA_IY IY_Z
LOBES    L_AO AO_UH UH_B B_Z
LOBE    L_AO AO_UH UH_B
LOATHLY    L_AO AO_UH UH_TH TH_L L_IY
LOATHES    L_AO AO_UH UH_DH DH_Z
LOAFED    L_AO AO_UH UH_F F_T
LOADSTONE    L_AO AO_UH UH_D D_S S_T T_AO AO_UH UH_N
LLOYDSBORO    L_AO AO_IY IY_D D_Z Z_B B_UH UH_R R_AO AO_UH
LLEWELYN    L_UW UW_IH IH_L L_IH IH_N
LIZZIE'S    L_IY IY_T T_S S_IY IY_Z
LIZ'BETH    L_IH IH_Z Z_AH AH_B B_IH IH_TH
LIZAVETA    L_IY IY_Z Z_AA AA_V V_EH EH_IY IY_T T_AH
LIVINGSTONS    L_IH IH_V V_IH IH_NG NG_S S_T T_AH AH_N N_Z
LIVINGSTONE'S    L_IH IH_V V_IH IH_NG NG_S S_T T_AO AO_UH UH_N N_Z
LIVINGSTON    L_IH IH_V V_IH IH_NG NG_S S_T T_AH AH_N
LIVIA    L_IH IH_V V_IY IY_AH
LIVESEY'S    L_IH IH_V V_IH IH_S S_IY IY_Z
LIVERS    L_IH IH_V V_UH UH_R R_Z
LIVERED    L_IH IH_V V_UH UH_R R_D
LITIGIOUS    L_IH IH_T T_IH IH_JH JH_AH AH_S
LITHUANIA    L_IH IH_TH TH_AH AH_W W_EH EH_IY IY_N N_IY IY_AH
LITERATE    L_IH IH_T T_UH UH_R R_AH AH_T
LITE    L_AA AA_IY IY_T
LITANY    L_IH IH_T T_AH AH_N N_IY
LISZT    L_IH IH_S S_T
LISTING    L_IH IH_S S_T T_IH IH_NG
LISTETH    L_IH IH_S S_T T_IH IH_TH
LISTENER'S    L_IH IH_S S_N N_UH UH_R R_Z
LIRA    L_IH IH_R R_AH
LIQUEURS    L_IH IH_K K_UH UH_R R_Z
LIQUEFIED    L_IH IH_K K_W W_AH AH_F F_AA AA_IY IY_D
LIPPING    L_IH IH_P P_IH IH_NG
LINZ    L_IH IH_N N_Z
LINTEL    L_IH IH_N N_T T_AH AH_L
LINNAEUS    L_IH IH_N N_EH EH_IY IY_AH AH_S
LINKUM    L_IH IH_NG NG_K K_AH AH_M
LINKINWATER    L_IH IH_NG NG_K K_IH IH_N N_W W_AO AO_T T_UH UH_R
LINK'D    L_IH IH_NG NG_K K_D
LINKAGE    L_IH IH_NG NG_K K_IH IH_JH
LINGUIST    L_IH IH_NG NG_G G_W W_IH IH_S S_T
LINET    L_IH IH_N N_IH IH_T
LINCOLNSHIRE    L_IH IH_NG NG_K K_AH AH_N N_SH SH_IH IH_R
LIMPET    L_IH IH_M M_P P_AH AH_T
LIMPANG    L_IH IH_M M_P P_AE AE_NG
LILT    L_IH IH_L L_T
LILLY    L_IH IH_L L_IY
LILLIES    L_IH IH_L L_IY IY_Z
LILLIAN    L_IH IH_L L_IY IY_AH AH_N
LILLE    L_IY IY_L
LILITH'S    L_IH IH_L L_IH IH_TH TH_S
LILE    L_AA AA_IY IY_L
LI'L    L_AA AA_IY IY_AH AH_L
LIL    L_IH IH_L
LIKETH    L_AA AA_IY IY_K K_AH AH_TH
LIKEN    L_AA AA_IY IY_K K_AH AH_N
LIGHTSOME    L_AA AA_IY IY_T T_S S_AH AH_M
LIGHTHOUSES    L_AA AA_IY IY_T T_HH HH_AA AA_UH UH_Z Z_AH AH_Z
LIGHTERMAN    L_AA AA_IY IY_T T_UH UH_R R_M M_AH AH_N
LIGATURES    L_IH IH_G G_AH AH_CH CH_UH UH_R R_Z
LIGATURE    L_IH IH_G G_AH AH_CH CH_UH UH_R
LIFEBOATS    L_AA AA_IY IY_F F_B B_AO AO_UH UH_T T_S
LIEGEMEN    L_IY IY_JH JH_M M_AH AH_N
LICHENS    L_AA AA_IY IY_K K_AH AH_N N_Z
LICHENED    L_AA AA_IY IY_K K_AH AH_N N_D
LICENCES    L_AA AA_IY IY_S S_AH AH_N N_S S_IH IH_Z
LIBYAN    L_IH IH_B B_IY IY_AH AH_N
LIBIDINOUS    L_IH IH_B B_IY IY_D D_AH AH_N N_AH AH_S
LIBERTY'S    L_IH IH_B B_UH UH_R R_T T_IY IY_Z
LIBERTIE    L_IY IY_B B_EH EH_R R_T T_IY
LIBERALITIES    L_IH IH_B B_UH UH_R R_AE AE_L L_AH AH_T T_IY IY_Z
LIBATION    L_AA AA_IY IY_B B_EH EH_IY IY_SH SH_AH AH_N
LEXICON    L_EH EH_K K_S S_IH IH_K K_AA AA_N
LEWISTON    L_UW UW_AH AH_S S_T T_AH AH_N
LEWDNESS    L_UW UW_D D_N N_AH AH_S
LEVU    L_IH IH_V V_UW
LEVITIES    L_EH EH_V V_IH IH_T T_IY IY_Z
LEVIATHAN    L_AH AH_V V_AA AA_IY IY_AH AH_TH TH_AH AH_N
LEVERAGE    L_IY IY_V V_UH UH_R R_IH IH_JH
LEVELLER    L_EH EH_V V_AH AH_L L_UH UH_R
LEVELING    L_EH EH_V V_L L_IH IH_NG
LETTRES    L_EH EH_T T_UH UH_R R_Z
LESCAUT    L_AH AH_S S_K K_AO AO_T
LESBIAN    L_EH EH_Z Z_B B_IY IY_AH AH_N
LEPROUS    L_EH EH_P P_UH UH_R R_AH AH_S
LEPERS    L_EH EH_P P_UH UH_R R_Z
LENTICULAR    L_EH EH_N N_T T_IH IH_K K_Y Y_AH AH_L L_UH UH_R
LENOIR    L_EH EH_N N_W W_AA AA_R
LENIN'S    L_EH EH_N N_IH IH_N N_Z
LENDETH    L_EH EH_N N_D D_IH IH_TH
LEMNOS    L_EH EH_M M_N N_AO AO_UH UH_Z
LEMMING    L_EH EH_M M_IH IH_NG
LEITH    L_IY IY_TH
LEISURED    L_IY IY_Z Z_UH UH_R R_D
LEIPZIG    L_AA AA_IY IY_P P_S S_IH IH_G
LEIGHTON    L_EH EH_IY IY_T T_AH AH_N
LEICESTER    L_EH EH_S S_T T_UH UH_R
LEGITIMACY    L_IH IH_JH JH_IH IH_T T_AH AH_M M_AH AH_S S_IY
LEGISTS    L_EH EH_JH JH_IH IH_S S_T T_S
LEGHORNS    L_EH EH_G G_HH HH_AO AO_R R_N N_Z
LEGER'S    L_EH EH_JH JH_UH UH_R R_Z
LEGACIES    L_EH EH_G G_AH AH_S S_IY IY_Z
LEEWAY    L_IY IY_W W_EH EH_IY
LEERED    L_IH IH_R R_D
LEEKS    L_IY IY_K K_S
LEDBURY    L_EH EH_D D_B B_EH EH_R R_IY
LEBRUN'S    L_EH EH_B B_R R_AH AH_N N_Z
LEAVETH    L_IY IY_V V_IH IH_TH
LEASTWISE    L_IY IY_S S_T T_W W_AA AA_IY IY_Z
LEASED    L_IY IY_S S_T
LEAR'S    L_IY IY_R R_Z
LEARNIN    L_UH UH_R R_N N_IH IH_N
LEANER    L_IY IY_N N_UH UH_R
LEAKING    L_IY IY_K K_IH IH_NG
LEADER'S    L_IY IY_D D_UH UH_R R_Z
LAZARETTO    L_AA AA_Z Z_AA AA_R R_EH EH_T T_AO AO_UH
LAZARETTE    L_AE AE_Z Z_UH UH_R R_EH EH_T
LAYD    L_EH EH_IY IY_D
LAYARD    L_EH EH_IY IY_UH UH_R R_D
LAWSY    L_AO AO_S S_IY
LAWSUIT    L_AO AO_S S_UW UW_T
LAWMAKING    L_AO AO_M M_EH EH_IY IY_K K_IH IH_NG
LAWGIVERS    L_AA AA_UH UH_G G_IH IH_V V_UH UH_R R_Z
LAWGIVER    L_AA AA_UH UH_G G_IH IH_V V_UH UH_R
LAVOISIER    L_AH AH_V V_W W_AA AA_Z Z_IY IY_UH UH_R
LAVINIA    L_AH AH_V V_IH IH_N N_Y Y_AH
LAVING    L_EH EH_IY IY_V V_IH IH_NG
LAVE    L_EH EH_IY IY_V
LAVAL    L_AH AH_V V_AA AA_L
LAURENTIAN    L_AO AO_R R_EH EH_N N_SH SH_AH AH_N
LAUREATE    L_AO AO_R R_IY IY_AH AH_T
LAUDATORY    L_AO AO_D D_AH AH_T T_AO AO_R R_IY
LATHER    L_AE AE_DH DH_UH UH_R
LATERAN    L_AE AE_T T_UH UH_R R_AH AH_N
LASTETH    L_AE AE_S S_T T_IH IH_TH
LASSIE    L_AE AE_S S_IY
LASHLESS    L_AE AE_SH SH_L L_AH AH_S
LASHINGS    L_AE AE_SH SH_IH IH_NG NG_Z
LASCIVIOUSNESS    L_AH AH_S S_IH IH_V V_IY IY_AH AH_S S_N N_AH AH_S
LASCIVIOUS    L_AH AH_S S_IH IH_V V_IY IY_AH AH_S
LARYNX    L_EH EH_R R_IH IH_NG NG_K K_S
LARVA    L_AA AA_R R_V V_AH
LARTIUS    L_AA AA_R R_SH SH_Y Y_IH IH_S
LARN    L_AA AA_R R_N
LARI    L_AA AA_R R_IY
LARGO    L_AA AA_R R_G G_AO AO_UH
LARGISH    L_AA AA_R R_JH JH_IH IH_SH
LARGENESS    L_AA AA_R R_JH JH_N N_IH IH_S
LAREN    L_AE AE_R R_AH AH_N
LARDERS    L_AA AA_R R_D D_UH UH_R R_Z
LARCH    L_AA AA_R R_CH
LARCENY    L_AA AA_R R_S S_AH AH_N N_IY
LAPWING    L_AH AH_P P_W W_IH IH_NG
LAPIS    L_AE AE_P P_AH AH_S
LAPEL    L_AH AH_P P_EH EH_L
LANZKNECHTS    L_AE AE_N N_Z Z_N N_EH EH_K K_T T_S
LANGTON    L_AE AE_NG NG_T T_AH AH_N
LANDSMAN    L_AE AE_N N_D D_Z Z_M M_AH AH_N
LANDOWNER'S    L_AE AE_N N_D D_AO AO_UH UH_N N_UH UH_R R_Z
LANDLEAGUERS    L_AE AE_N N_D D_L L_IY IY_G G_UH UH_R R_Z
LANDINGS    L_AE AE_N N_D D_IH IH_NG NG_Z
LANDER    L_AE AE_N N_D D_UH UH_R
LANDEN    L_AE AE_N N_D D_AH AH_N
LANCKEN    L_AE AE_NG NG_K K_AH AH_N
LANCEOR    L_AE AE_N N_S S_IY IY_UH UH_R
LANCASTRIANS    L_AE AE_N N_K K_AE AE_S S_T T_R R_IY IY_AH AH_N N_Z
LAMPSACUS    L_AE AE_M M_P P_S S_AE AE_K K_IH IH_S
LAMP'S    L_AE AE_M M_P P_S
LAMED    L_EH EH_IY IY_M M_D
LAMBY    L_AE AE_M M_B B_IY
LAMBORN    L_AH AH_M M_B B_AO AO_R R_N
LAMBETH'S    L_AE AE_M M_B B_IH IH_TH TH_S
LAMBERTO    L_AA AA_M M_B B_EH EH_R R_T T_AO AO_UH
LAMARCK    L_AA AA_M M_AA AA_R R_K
LALA    L_AA AA_L L_AH
LAKESIDE    L_EH EH_IY IY_K K_S S_AA AA_IY IY_D
LAKELET    L_EH EH_IY IY_K K_L L_AH AH_T
LAIT    L_EH EH_IY
LAGS    L_AE AE_G G_Z
LAGRANGE    L_AE AE_G G_R R_EH EH_IY IY_N N_JH
LAGGARDS    L_AE AE_G G_UH UH_R R_D D_Z
LAG    L_AE AE_G
LADLES    L_EH EH_IY IY_D D_AH AH_L L_Z
LACY    L_EH EH_IY IY_S S_IY
LACINGS    L_EH EH_IY IY_S S_IH IH_NG NG_Z
LABORER'S    L_EH EH_IY IY_B B_UH UH_R R_UH UH_R R_Z
LABOR'D    L_EH EH_IY IY_B B_UH UH_R R_D
LABELED    L_EH EH_IY IY_B B_AH AH_L L_D
KYUSHU    K_Y Y_AH AH_SH SH_UW
KURDISH    K_UH UH_R R_D D_IH IH_SH
KUM    K_AH AH_M
KROO    K_R R_UW
KREUTZER    K_R R_AO AO_IY IY_T T_Z Z_UH UH_R
KREMLIN    K_R R_EH EH_M M_L L_IH IH_N
KRAGAN    K_R R_EH EH_IY IY_G G_AH AH_N
KRAG    K_R R_AE AE_G
KOREA    K_R R_IY IY_AH
KNUCKLING    N_AH AH_K K_AH AH_L L_IH IH_NG
KNUCKLE    N_AH AH_K K_AH AH_L
KNOX    N_AA AA_K K_S
KNOWLES    N_AO AO_UH UH_L L_Z
KNOWD    N_AO AO_UH UH_D
KNOCKOUT    N_AA AA_K K_AA AA_UH UH_T
KNITS    N_IH IH_T T_S
KNICKKNACKS    N_IH IH_K K_N N_AE AE_K K_S
KNEELS    N_IY IY_L L_Z
KNAVERY    N_EH EH_IY IY_V V_UH UH_R R_IY
KNAPSACKS    N_AE AE_P P_S S_AE AE_K K_S
KNAPP    N_AE AE_P
KLINE    K_L L_AA AA_IY IY_N
KITT'S    K_IH IH_T T_S
KITTLE    K_IH IH_T T_AH AH_L
KIST    K_IH IH_S S_T
KIRWIN    K_UH UH_R R_W W_IH IH_N
KIRKWALL    K_UH UH_R R_K K_W W_AO AO_L
KIRKBY    K_UH UH_R R_K K_B B_IY
KIRBY    K_UH UH_R R_B B_IY
KINSMAN'S    K_IH IH_N N_S S_M M_AH AH_N N_Z
KINKED    K_IH IH_NG NG_K K_T
KINGSTON'S    K_IH IH_NG NG_S S_T T_AH AH_N N_Z
KINGDOM'S    K_IH IH_NG NG_D D_AH AH_M M_Z
KINETOSCOPE    K_AH AH_N N_EH EH_T T_AH AH_S S_K K_AO AO_UH UH_P
KINE    K_IY IY_N
KINCHIN    K_IH IH_N N_CH CH_IH IH_N
KIMONOS    K_AH AH_M M_AO AO_UH UH_N N_AH AH_Z
KILN    K_IH IH_L L_N
KILMARNOCK    K_IH IH_L L_M M_AA AA_R R_N N_AA AA_K
KILLY    K_IH IH_L L_IY
KILLIECRANKIE    K_IH IH_L L_Y Y_AH AH_K K_R R_AE AE_NG NG_K K_IY
KILL'D    K_IH IH_L L_D
KILDEE    K_IH IH_L L_D D_IY
KIEN    K_IY IY_N
KIDNAPPERS    K_IH IH_D D_N N_AE AE_P P_UH UH_R R_Z
KHADIJAH    K_AH AH_D D_IY IY_JH JH_AH
KEZIAH    K_AH AH_Z Z_IY IY_AH
KETCH'S    K_EH EH_CH CH_IH IH_Z
KESWICK    K_EH EH_S S_W W_IH IH_K
KERRIGAN    K_EH EH_R R_IH IH_G G_AH AH_N
KER    K_UH UH_R
KEPPEL    K_EH EH_P P_AH AH_L
KENZIE    K_EH EH_N N_Z Z_IY
KENNINGTON    K_EH EH_N N_IH IH_NG NG_T T_AH AH_N
KENNICOTT'S    K_EH EH_N N_IH IH_K K_AA AA_T T_S
KENNELS    K_EH EH_N N_AH AH_L L_Z
KENEU    K_EH EH_N N_UW
KENDALL'S    K_EH EH_N N_D D_AH AH_L L_Z
KELL    K_EH EH_L
KEIMER    K_AA AA_IY IY_M M_UH UH_R
KEHYDIUS    K_EH EH_HH HH_AA AA_IY IY_D D_IY IY_AH AH_S
KEEPSAKES    K_IY IY_P P_S S_EH EH_IY IY_K K_S
KEEPETH    K_IY IY_P P_IH IH_TH
KAZI'S    K_AE AE_Z Z_IY IY_Z
KAW    K_AA AA_UH
KATHARINE'S    K_AE AE_TH TH_R R_IH IH_N N_Z
KATENKA    K_AA AA_T T_EH EH_NG NG_K K_AH
KARUN    K_UH UH_R R_UW UW_N
KARR    K_AA AA_R
KARNAK    K_AA AA_R R_N N_AH AH_K
KARMA    K_AA AA_R R_M M_AH
KAREN'S    K_EH EH_R R_AH AH_N N_Z
KARAMAZOVS    K_UH UH_R R_AE AE_M M_AH AH_Z Z_AA AA_F F_S
KARAMAZOV    K_AE AE_R R_AH AH_M M_AE AE_Z Z_AA AA_V
KAR    K_AA AA_R
KANDY    K_AE AE_N N_D D_IY
KANAB    K_AH AH_N N_AA AA_B
KAFTAN    K_AE AE_F F_T T_AE AE_N
KAFIR    K_AH AH_F F_UH UH_R
KABUL    K_AA AA_B B_UH UH_L
JUXTA    JH_AH AH_K K_S S_T T_AH
JUVENAL    JH_UW UW_V V_AH AH_N N_AH AH_L
JUTS    JH_AH AH_T T_S
JUTLAND    JH_AH AH_T T_L L_AH AH_N N_D
JUT    JH_AH AH_T
JUSTUS    JH_AH AH_S S_T T_AH AH_S
JUST'S    JH_AH AH_S S_T T_S
JUSTINIAN'S    JH_AH AH_S S_T T_IH IH_N N_IY IY_AH AH_N N_Z
JUSTINA    Y_UW UW_S S_T T_IY IY_N N_AH
JUSTER    JH_AH AH_S S_T T_UH UH_R
JURA    JH_UH UH_R R_AH
JUPP    JH_UW UW_P
JUP    JH_AH AH_P
JUNKETING    JH_AH AH_NG NG_K K_IH IH_T T_IH IH_NG
JUNKET    JH_AH AH_NG NG_K K_IH IH_T
JUNK    JH_AH AH_NG NG_K
JUMPIN    JH_AH AH_M M_P P_IH IH_N
JUMBO    JH_AH AH_M M_B B_AO AO_UH
JULIE'S    JH_UW UW_L L_IY IY_Z
JUDSON    JH_AH AH_D D_S S_AH AH_N
JUDICATURE    JH_UW UW_D D_IH IH_K K_AH AH_CH CH_UH UH_R
JUBILATION    JH_UW UW_B B_AH AH_L L_EH EH_IY IY_SH SH_AH AH_N
JUBILANTLY    JH_UW UW_B B_AH AH_L L_AH AH_N N_T T_L L_IY
JUANITA    W_AA AA_N N_IY IY_T T_AH
JOYN    JH_AO AO_IY IY_N
JOYCE'S    JH_AO AO_IY IY_S S_IH IH_Z
JOVIAN    JH_AO AO_UH UH_V V_IY IY_AH AH_N
JOVIALITY    JH_AO AO_UH UH_V V_IY IY_AE AE_L L_AH AH_T T_IY
JOUSTING    JH_AA AA_UH UH_S S_T T_IH IH_NG
JOURNEYMAN'S    JH_UH UH_R R_N N_IY IY_M M_AH AH_N N_Z
JOURNEY'D    JH_UH UH_R R_N N_IY IY_D
JOURNALIST'S    JH_UH UH_R R_N N_AH AH_L L_IH IH_S S_T T_S
JOUR    JH_AA AA_UH UH_R
JOTHAM    JH_AA AA_TH TH_AH AH_M
JOLTS    JH_AO AO_UH UH_L L_T T_S
JOLLIFFE    JH_AA AA_L L_IH IH_F
JOKER    JH_AO AO_UH UH_K K_UH UH_R
JOIST    JH_AO AO_IY IY_S S_T
JOINERS    JH_AO AO_IY IY_N N_UH UH_R R_Z
JOHNSTON'S    JH_AA AA_N N_S S_T T_AH AH_N N_Z
JOHNS    JH_AA AA_N N_Z
JOHNNIE'S    JH_AA AA_N N_IY IY_Z
JOHANNES    JH_AO AO_UH UH_HH HH_AE AE_N N_AH AH_S
JOCOSE    Y_AO AO_UH UH_K K_AO AO_UH UH_S
JOCKER    JH_AA AA_K K_UH UH_R
JOCELYN'S    JH_AO AO_S S_L L_IH IH_N N_Z
JOBBERS    JH_AA AA_B B_UH UH_R R_Z
JOACHIM    Y_AO AO_UH UH_AA AA_K K_IH IH_M
JIZO    JH_IY IY_Z Z_AO AO_UH
JIMMU    JH_IH IH_M M_UW
JIGGING    JH_IH IH_G G_IH IH_NG
JIBS    JH_IH IH_B B_Z
JEWELERS    JH_UW UW_L L_UH UH_R R_Z
JETSAM    JH_EH EH_T T_S S_AH AH_M
JESTED    JH_EH EH_S S_T T_IH IH_D
JERVIS    JH_UH UH_R R_V V_IH IH_S
JERRINE    JH_EH EH_R R_IH IH_N
JEROBOAM    JH_EH EH_R R_AH AH_B B_AO AO_UH UH_AH AH_M
JEOPARDIZE    JH_EH EH_P P_UH UH_R R_D D_AA AA_IY IY_Z
JENNY'S    JH_EH EH_N N_IY IY_Z
JEDDAK'S    JH_EH EH_D D_AE AE_K K_S
JEANS    JH_IY IY_N N_Z
JEANNE    JH_IY IY_N
JE    JH_IY
JAWING    JH_AO AO_IH IH_NG
JAWBONE    JH_AO AO_B B_AO AO_UH UH_N
JAUNDICE    JH_AO AO_N N_D D_AH AH_S
JASTROW    JH_AE AE_S S_T T_R R_AO AO_UH
JARRETT    JH_EH EH_R R_AH AH_T
JAP    JH_AE AE_P
JANN    JH_AE AE_N
JANIUS    JH_EH EH_IY IY_N N_IY IY_IH IH_S
JANGLED    JH_AE AE_NG NG_G G_AH AH_L L_D
JANES    JH_EH EH_IY IY_N N_Z
JAMESON    JH_EH EH_IY IY_M M_S S_AH AH_N
JAMBS    JH_AE AE_M M_Z
JAKIE    JH_AE AE_K K_IY
JAILED    JH_EH EH_IY IY_L L_D
JAH    JH_AH
